[W C:\cb\pytorch_1000000000000\work\torch\csrc\profiler\kineto_shim.cpp:330] Profiler is not initialized: skipping step() invocation
STAGE:2022-11-08 12:33:07 14896:18776 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2022-11-08 12:33:07 14896:18776 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:300] Completed Stage: Collection
STAGE:2022-11-08 12:33:07 14896:18776 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\output_json.cpp:417] Completed Stage: Post Processing
Initializing dataset - reading D:\GitHub\DistributedINR\Code\Datasets\..\..\Data\Isotropic.nc
Feature grid shape: [1, 16, 64, 64, 64]
Training on cuda:0 D:\GitHub\DistributedINR\Code\..\SavedModels\Isotropic_full_64featgrid_4layers32nodes
Iteration 0/10000, Fitting loss:  0.17003 
Iteration 10/10000, Fitting loss:  0.08315 
Iteration 20/10000, Fitting loss:  0.07891 
Iteration 30/10000, Fitting loss:  0.07221 
Iteration 40/10000, Fitting loss:  0.06513 
Iteration 50/10000, Fitting loss:  0.05831 
Iteration 60/10000, Fitting loss:  0.04998 
Iteration 70/10000, Fitting loss:  0.04507 
Iteration 80/10000, Fitting loss:  0.04170 
Iteration 90/10000, Fitting loss:  0.04017 
Iteration 100/10000, Fitting loss:  0.03725 
Iteration 110/10000, Fitting loss:  0.03623 
Iteration 120/10000, Fitting loss:  0.03523 
Iteration 130/10000, Fitting loss:  0.03438 
Iteration 140/10000, Fitting loss:  0.03336 
Iteration 150/10000, Fitting loss:  0.03306 
Iteration 160/10000, Fitting loss:  0.03276 
Iteration 170/10000, Fitting loss:  0.03238 
Iteration 180/10000, Fitting loss:  0.03144 
Iteration 190/10000, Fitting loss:  0.03113 
Iteration 200/10000, Fitting loss:  0.03090 
Iteration 210/10000, Fitting loss:  0.03078 
Iteration 220/10000, Fitting loss:  0.03120 
Iteration 230/10000, Fitting loss:  0.03161 
Iteration 240/10000, Fitting loss:  0.03028 
Iteration 250/10000, Fitting loss:  0.03026 
Iteration 260/10000, Fitting loss:  0.02980 
Iteration 270/10000, Fitting loss:  0.03007 
Iteration 280/10000, Fitting loss:  0.02906 
Iteration 290/10000, Fitting loss:  0.02991 
Iteration 300/10000, Fitting loss:  0.02932 
Iteration 310/10000, Fitting loss:  0.02922 
Iteration 320/10000, Fitting loss:  0.02928 
Iteration 330/10000, Fitting loss:  0.02901 
Iteration 340/10000, Fitting loss:  0.02886 
Iteration 350/10000, Fitting loss:  0.02886 
Iteration 360/10000, Fitting loss:  0.02870 
Iteration 370/10000, Fitting loss:  0.02839 
Iteration 380/10000, Fitting loss:  0.02872 
Iteration 390/10000, Fitting loss:  0.02806 
Iteration 400/10000, Fitting loss:  0.02831 
Iteration 410/10000, Fitting loss:  0.02825 
Iteration 420/10000, Fitting loss:  0.02803 
Iteration 430/10000, Fitting loss:  0.02810 
Iteration 440/10000, Fitting loss:  0.02822 
Iteration 450/10000, Fitting loss:  0.02772 
Iteration 460/10000, Fitting loss:  0.02803 
