[W C:\cb\pytorch_1000000000000\work\torch\csrc\profiler\kineto_shim.cpp:330] Profiler is not initialized: skipping step() invocation
STAGE:2022-11-08 12:39:56 1672:14304 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2022-11-08 12:39:56 1672:14304 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:300] Completed Stage: Collection
STAGE:2022-11-08 12:39:56 1672:14304 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\output_json.cpp:417] Completed Stage: Post Processing
Initializing dataset - reading D:\GitHub\DistributedINR\Code\Datasets\..\..\Data\Isotropic.nc
Feature grid shape: [1, 16, 64, 64, 64]
Training on cuda:0 D:\GitHub\DistributedINR\Code\..\SavedModels\Isotropic_octant7_64featgrid_4layers32nodes
Iteration 0/10000, Fitting loss:  0.16913 
Iteration 10/10000, Fitting loss:  0.08263 
Iteration 20/10000, Fitting loss:  0.07958 
Iteration 30/10000, Fitting loss:  0.07184 
Iteration 40/10000, Fitting loss:  0.06103 
Iteration 50/10000, Fitting loss:  0.05172 
Iteration 60/10000, Fitting loss:  0.04540 
Iteration 70/10000, Fitting loss:  0.03775 
Iteration 80/10000, Fitting loss:  0.03391 
Iteration 90/10000, Fitting loss:  0.03046 
Iteration 100/10000, Fitting loss:  0.02794 
Iteration 110/10000, Fitting loss:  0.02635 
Iteration 120/10000, Fitting loss:  0.02542 
Iteration 130/10000, Fitting loss:  0.02387 
Iteration 140/10000, Fitting loss:  0.02303 
Iteration 150/10000, Fitting loss:  0.02203 
Iteration 160/10000, Fitting loss:  0.02236 
Iteration 170/10000, Fitting loss:  0.02206 
Iteration 180/10000, Fitting loss:  0.02066 
Iteration 190/10000, Fitting loss:  0.02041 
Iteration 200/10000, Fitting loss:  0.02091 
Iteration 210/10000, Fitting loss:  0.01959 
Iteration 220/10000, Fitting loss:  0.01902 
Iteration 230/10000, Fitting loss:  0.01922 
Iteration 240/10000, Fitting loss:  0.01934 
Iteration 250/10000, Fitting loss:  0.01888 
Iteration 260/10000, Fitting loss:  0.01844 
Iteration 270/10000, Fitting loss:  0.01900 
Iteration 280/10000, Fitting loss:  0.01815 
Iteration 290/10000, Fitting loss:  0.01857 
Iteration 300/10000, Fitting loss:  0.01778 
Iteration 310/10000, Fitting loss:  0.01813 
Iteration 320/10000, Fitting loss:  0.01770 
Iteration 330/10000, Fitting loss:  0.01814 
Iteration 340/10000, Fitting loss:  0.01735 
Iteration 350/10000, Fitting loss:  0.01695 
Iteration 360/10000, Fitting loss:  0.01701 
Iteration 370/10000, Fitting loss:  0.01729 
Iteration 380/10000, Fitting loss:  0.01716 
Iteration 390/10000, Fitting loss:  0.01698 
Iteration 400/10000, Fitting loss:  0.01707 
Iteration 410/10000, Fitting loss:  0.01776 
Iteration 420/10000, Fitting loss:  0.01699 
Iteration 430/10000, Fitting loss:  0.01681 
Iteration 440/10000, Fitting loss:  0.01687 
Iteration 450/10000, Fitting loss:  0.01678 
Iteration 460/10000, Fitting loss:  0.01642 
Iteration 470/10000, Fitting loss:  0.01647 
Iteration 480/10000, Fitting loss:  0.01642 
