[W C:\cb\pytorch_1000000000000\work\torch\csrc\profiler\kineto_shim.cpp:330] Profiler is not initialized: skipping step() invocation
STAGE:2022-11-08 12:41:38 16056:19452 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2022-11-08 12:41:38 16056:19452 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:300] Completed Stage: Collection
STAGE:2022-11-08 12:41:38 16056:19452 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\output_json.cpp:417] Completed Stage: Post Processing
Initializing dataset - reading D:\GitHub\DistributedINR\Code\Datasets\..\..\Data\Isotropic.nc
Feature grid shape: [1, 16, 128, 128, 16]
Training on cuda:0 D:\GitHub\DistributedINR\Code\..\SavedModels\Isotropic_slice1_128x128x16featgrid_4layers32nodes
Iteration 0/10000, Fitting loss:  0.15312 
Iteration 10/10000, Fitting loss:  0.06886 
Iteration 20/10000, Fitting loss:  0.06597 
Iteration 30/10000, Fitting loss:  0.06093 
Iteration 40/10000, Fitting loss:  0.05265 
Iteration 50/10000, Fitting loss:  0.04582 
Iteration 60/10000, Fitting loss:  0.03908 
Iteration 70/10000, Fitting loss:  0.03401 
Iteration 80/10000, Fitting loss:  0.02969 
Iteration 90/10000, Fitting loss:  0.02745 
Iteration 100/10000, Fitting loss:  0.02489 
Iteration 110/10000, Fitting loss:  0.02335 
Iteration 120/10000, Fitting loss:  0.02222 
Iteration 130/10000, Fitting loss:  0.02142 
Iteration 140/10000, Fitting loss:  0.02061 
Iteration 150/10000, Fitting loss:  0.01964 
Iteration 160/10000, Fitting loss:  0.02069 
Iteration 170/10000, Fitting loss:  0.02124 
Iteration 180/10000, Fitting loss:  0.01883 
Iteration 190/10000, Fitting loss:  0.01863 
Iteration 200/10000, Fitting loss:  0.01831 
Iteration 210/10000, Fitting loss:  0.01833 
Iteration 220/10000, Fitting loss:  0.01732 
Iteration 230/10000, Fitting loss:  0.01732 
Iteration 240/10000, Fitting loss:  0.01690 
Iteration 250/10000, Fitting loss:  0.01715 
Iteration 260/10000, Fitting loss:  0.01741 
Iteration 270/10000, Fitting loss:  0.01663 
Iteration 280/10000, Fitting loss:  0.01661 
Iteration 290/10000, Fitting loss:  0.01629 
Iteration 300/10000, Fitting loss:  0.01693 
Iteration 310/10000, Fitting loss:  0.01617 
Iteration 320/10000, Fitting loss:  0.01626 
Iteration 330/10000, Fitting loss:  0.01598 
Iteration 340/10000, Fitting loss:  0.01635 
Iteration 350/10000, Fitting loss:  0.01560 
Iteration 360/10000, Fitting loss:  0.01633 
Iteration 370/10000, Fitting loss:  0.01604 
Iteration 380/10000, Fitting loss:  0.01566 
Iteration 390/10000, Fitting loss:  0.01539 
Iteration 400/10000, Fitting loss:  0.01558 
Iteration 410/10000, Fitting loss:  0.01585 
Iteration 420/10000, Fitting loss:  0.01541 
Iteration 430/10000, Fitting loss:  0.01525 
Iteration 440/10000, Fitting loss:  0.01524 
Iteration 450/10000, Fitting loss:  0.01542 
Iteration 460/10000, Fitting loss:  0.01527 
Iteration 470/10000, Fitting loss:  0.01505 
Iteration 480/10000, Fitting loss:  0.01512 
Iteration 490/10000, Fitting loss:  0.01475 
Iteration 500/10000, Fitting loss:  0.01498 
Iteration 510/10000, Fitting loss:  0.01485 
Iteration 520/10000, Fitting loss:  0.01469 
Iteration 530/10000, Fitting loss:  0.01523 
Iteration 540/10000, Fitting loss:  0.01476 
Iteration 550/10000, Fitting loss:  0.01585 
Iteration 560/10000, Fitting loss:  0.01508 
Iteration 570/10000, Fitting loss:  0.01471 
Iteration 580/10000, Fitting loss:  0.01439 
Iteration 590/10000, Fitting loss:  0.01446 
Iteration 600/10000, Fitting loss:  0.01438 
Iteration 610/10000, Fitting loss:  0.01456 
Iteration 620/10000, Fitting loss:  0.01488 
Iteration 630/10000, Fitting loss:  0.01420 
Iteration 640/10000, Fitting loss:  0.01419 
Iteration 650/10000, Fitting loss:  0.01463 
Iteration 660/10000, Fitting loss:  0.01425 
Iteration 670/10000, Fitting loss:  0.01429 
Iteration 680/10000, Fitting loss:  0.01419 
Iteration 690/10000, Fitting loss:  0.01422 
Iteration 700/10000, Fitting loss:  0.01403 
Iteration 710/10000, Fitting loss:  0.01441 
Iteration 720/10000, Fitting loss:  0.01417 
Iteration 730/10000, Fitting loss:  0.01421 
Iteration 740/10000, Fitting loss:  0.01381 
Iteration 750/10000, Fitting loss:  0.01425 
Iteration 760/10000, Fitting loss:  0.01460 
Iteration 770/10000, Fitting loss:  0.01402 
Iteration 780/10000, Fitting loss:  0.01396 
Iteration 790/10000, Fitting loss:  0.01401 
Iteration 800/10000, Fitting loss:  0.01389 
Iteration 810/10000, Fitting loss:  0.01354 
Iteration 820/10000, Fitting loss:  0.01399 
Iteration 830/10000, Fitting loss:  0.01379 
Iteration 840/10000, Fitting loss:  0.01414 
Iteration 850/10000, Fitting loss:  0.01368 
Iteration 860/10000, Fitting loss:  0.01373 
Iteration 870/10000, Fitting loss:  0.01382 
Iteration 880/10000, Fitting loss:  0.01338 
Iteration 890/10000, Fitting loss:  0.01362 
Iteration 900/10000, Fitting loss:  0.01347 
Iteration 910/10000, Fitting loss:  0.01354 
Iteration 920/10000, Fitting loss:  0.01346 
Iteration 930/10000, Fitting loss:  0.01333 
Iteration 940/10000, Fitting loss:  0.01339 
Iteration 950/10000, Fitting loss:  0.01328 
Iteration 960/10000, Fitting loss:  0.01305 
Iteration 970/10000, Fitting loss:  0.01339 
Iteration 980/10000, Fitting loss:  0.01293 
Iteration 990/10000, Fitting loss:  0.01320 
Iteration 1000/10000, Fitting loss:  0.01302 
Iteration 1010/10000, Fitting loss:  0.01282 
Iteration 1020/10000, Fitting loss:  0.01317 
Iteration 1030/10000, Fitting loss:  0.01302 
Iteration 1040/10000, Fitting loss:  0.01311 
Iteration 1050/10000, Fitting loss:  0.01296 
Iteration 1060/10000, Fitting loss:  0.01286 
Iteration 1070/10000, Fitting loss:  0.01268 
Iteration 1080/10000, Fitting loss:  0.01284 
Iteration 1090/10000, Fitting loss:  0.01281 
Iteration 1100/10000, Fitting loss:  0.01292 
Iteration 1110/10000, Fitting loss:  0.01272 
Iteration 1120/10000, Fitting loss:  0.01298 
Iteration 1130/10000, Fitting loss:  0.01268 
Iteration 1140/10000, Fitting loss:  0.01264 
Iteration 1150/10000, Fitting loss:  0.01242 
Iteration 1160/10000, Fitting loss:  0.01277 
Iteration 1170/10000, Fitting loss:  0.01264 
Iteration 1180/10000, Fitting loss:  0.01260 
Iteration 1190/10000, Fitting loss:  0.01253 
Iteration 1200/10000, Fitting loss:  0.01238 
Iteration 1210/10000, Fitting loss:  0.01250 
Iteration 1220/10000, Fitting loss:  0.01232 
Iteration 1230/10000, Fitting loss:  0.01248 
Iteration 1240/10000, Fitting loss:  0.01249 
Iteration 1250/10000, Fitting loss:  0.01240 
Iteration 1260/10000, Fitting loss:  0.01231 
Iteration 1270/10000, Fitting loss:  0.01261 
Iteration 1280/10000, Fitting loss:  0.01229 
Iteration 1290/10000, Fitting loss:  0.01269 
Iteration 1300/10000, Fitting loss:  0.01210 
Iteration 1310/10000, Fitting loss:  0.01213 
Iteration 1320/10000, Fitting loss:  0.01222 
Iteration 1330/10000, Fitting loss:  0.01216 
Iteration 1340/10000, Fitting loss:  0.01231 
Iteration 1350/10000, Fitting loss:  0.01235 
Iteration 1360/10000, Fitting loss:  0.01233 
Iteration 1370/10000, Fitting loss:  0.01209 
Iteration 1380/10000, Fitting loss:  0.01203 
Iteration 1390/10000, Fitting loss:  0.01203 
Iteration 1400/10000, Fitting loss:  0.01200 
Iteration 1410/10000, Fitting loss:  0.01181 
Iteration 1420/10000, Fitting loss:  0.01194 
Iteration 1430/10000, Fitting loss:  0.01179 
Iteration 1440/10000, Fitting loss:  0.01201 
Iteration 1450/10000, Fitting loss:  0.01220 
